Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Sleepy;21/jun;Ward;11:43;4;voor;impact;12.34;12.42;12.52;12.43;0.008133333;4.02;4.09;4.05;4.05;0.001233333;4.81;4.92;4.75;4.83;0.007433333;v;v;k;r;k;k;k;k;k;k;k;k;k;k;k;k;v;v;k;k;k;k;r;r;r;4;17;4;0;0;0;25;0.16;0.68;0.16;0;0;0
Sleepy;21/jun;Ward;11:43;4;na;impact;12.34;12.42;12.52;12.43;0.008133333;4.02;4.09;4.05;4.05;0.001233333;4.81;4.92;4.75;4.83;0.007433333;g;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;k;k;0;2;22;0;1;0;25;0;0.08;0.88;0;0.04;0
Sneezy;21/jun;Ward;11:43;4;voor;controle;13.04;13;13.11;13.05;0.0031;3.93;3.99;3.86;3.93;0.004233333;4.43;4.31;4.3;4.35;0.005233333;k;r;r;r;k;k;v;k;v;k;k;k;k;k;k;k;k;k;k;k;k;k;k;v;k;3;19;3;0;0;0;25;0.12;0.76;0.12;0;0;0
Sneezy;21/jun;Ward;11:43;4;na;controle;13.04;13;13.11;13.05;0.0031;3.93;3.99;3.86;3.93;0.004233333;4.43;4.31;4.3;4.35;0.005233333;k;r;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;4;21;0;0;0;25;0;0.16;0.84;0;0;0
Rick;21/106;Ward;10:24;5;voor;impact;12.78;12.62;12.65;12.68;0.007233333;3.71;3.55;3.62;3.63;0.006433333;4.24;4.31;4.28;4.28;0.001233333;v;v;k;k;w;r;w;k;k;w;w;w;r;w;v;r;r;k;r;r;r;w;k;k;k;3;8;7;7;0;0;25;0.12;0.32;0.28;0.28;0;0
Rick;21/106;Ward;10:24;5;na;impact;12.78;12.62;12.65;12.68;0.007233333;3.71;3.55;3.62;3.63;0.006433333;4.24;4.31;4.28;4.28;0.001233333;k;r;k;w;r;w;r;r;r;k;r;r;k;w;r;r;r;r;r;r;r;r;r;r;r;0;4;18;3;0;0;25;0;0.16;0.72;0.12;0;0
Morty;21/jun;Ward;10:24;5;voor;controle;12.9;12.99;13.05;12.98;0.0057;3.78;3.9;3.79;3.82;0.004433333;4.47;4.41;4.43;4.44;0.000933333;k;r;k;w;k;k;k;k;k;k;k;w;k;k;k;w;r;r;k;r;r;k;v;w;w;1;14;5;5;0;0;25;0.04;0.56;0.2;0.2;0;0
Morty;21/jun;Ward;10:24;5;na;controle;12.9;12.99;13.05;12.98;0.0057;3.78;3.9;3.79;3.82;0.004433333;4.47;4.41;4.43;4.44;0.000933333;v;v;w;k;r;r;r;r;r;k;k;k;k;r;k;k;w;r;r;r;w;v;w;w;k;3;8;9;5;0;0;25;0.12;0.32;0.36;0.2;0;0
Flor;21/jun;Laura;11:57;3;voor;controle;12.18;12.18;12.27;12.21;0.0027;3.69;3.68;3.7;3.69;0.0001;3.67;3.67;3.74;3.69;0.001633333;k;k;r;k;k;k;r;r;r;r;r;r;r;r;r;r;r;r;w;w;r;r;r;r;r;0;5;18;2;0;0;25;0;0.2;0.72;0.08;0;0
Flor;21/jun;Laura;11:57;3;na;controle;12.18;12.18;12.27;12.21;0.0027;3.69;3.68;3.7;3.69;0.0001;3.67;3.67;3.74;3.69;0.001633333;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;1;24;0;0;0;25;0;0.04;0.96;0;0;0
Tarzan;21/jun;Laura;11:57;3;voor;impact;12.31;12.38;12.34;12.34;0.001233333;3.39;3.39;3.47;3.42;0.002133333;4.11;4.12;4.13;4.12;0.0001;k;v;k;k;w;r;r;r;r;r;r;r;r;r;v;w;w;r;r;r;r;r;r;r;r;2;3;17;3;0;0;25;0.08;0.12;0.68;0.12;0;0
Tarzan;21/jun;Laura;11:57;3;na;impact;12.31;12.38;12.34;12.34;0.001233333;3.39;3.39;3.47;3.42;0.002133333;4.11;4.12;4.13;4.12;0.0001;k;r;r;v;k;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;2;2;21;0;0;0;25;0.08;0.08;0.84;0;0;0
Jordan;21/jun;Laura;NA;2;voor;controle;10.87;10.71;10.79;10.79;0.0064;3.35;3.4;3.37;3.37;0.000633333;3.55;3.61;3.55;3.57;0.0012;v;k;b;k;k;k;r;k;r;r;r;r;r;r;r;r;r;r;k;k;k;k;k;k;k;1;12;11;0;0;1;25;0.04;0.48;0.44;0;0;0.04
Jordan;21/jun;Laura;NA;2;na;controle;10.87;10.71;10.79;10.79;0.0064;3.35;3.4;3.37;3.37;0.000633333;3.55;3.61;3.55;3.57;0.0012;k;r;r;r;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
Jommeke;21/jun;Laura;NA;2;voor;impact;12.68;12.53;12.67;12.63;0.007033333;3.77;3.86;3.68;3.77;0.0081;3.99;4.1;4.03;4.04;0.0031;v;k;k;k;k;k;r;r;r;r;r;r;r;r;r;r;k;k;k;k;b;b;k;k;b;1;11;10;0;0;3;25;0.04;0.44;0.4;0;0;0.12
Jommeke;21/jun;Laura;NA;2;na;impact;12.68;12.53;12.67;12.63;0.007033333;3.77;3.86;3.68;3.77;0.0081;3.99;4.1;4.03;4.04;0.0031;k;k;r;r;r;r;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;3;22;0;0;0;25;0;0.12;0.88;0;0;0
