Wesp;Datum;Waarnemer;Beginuur;Duurtag;Voor/Na;Controle/Impact;WL1;WL2;WL3;averageWL;varWL;WW1;WW2;WW3;averageWW;varWW;ITS1;ITS2;ITS3;averageITS;varITS;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;10;10.5;11;11.5;12;somv;somk;somr;somw;somg;somb;somalles;percv;perck;percr;percw;percg;percb
Arthur;19/jun;Celien;16:12;5;voor;controle;13.58;13.63;13.52;13.58;0.003033333;4;3.92;4.01;3.98;0.002433333;4.31;4.4;4.29;4.33;0.003433333;v;k;k;r;r;r;r;k;k;r;k;r;r;k;k;r;k;k;k;k;k;r;r;r;r;1;12;12;0;0;0;25;0.04;0.48;0.48;0;0;0
Arthur;19/jun;Celien;16:12;5;na;controle;13.58;13.63;13.52;13.58;0.003033333;4;3.92;4.01;3.98;0.002433333;4.31;4.4;4.29;4.33;0.003433333;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;0;2;23;0;0;0;25;0;0.08;0.92;0;0;0
Victor ;19/jun;Celien;16:12;5;voor;impact;11.82;11.93;11.77;11.84;0.0067;3.6;3.54;3.55;3.56;0.001033333;3.87;3.55;3.94;3.79;0.043233333;k;r;k;r;r;k;r;r;r;r;w;k;k;r;r;r;k;k;k;r;r;r;r;r;r;0;8;16;1;0;0;25;0;0.32;0.64;0.04;0;0
Victor ;19/jun;Celien;16:12;5;na;impact;11.82;11.93;11.77;11.84;0.0067;3.6;3.54;3.55;3.56;0.001033333;3.87;3.55;3.94;3.79;0.043233333;v;k;r;r;r;r;r;w;r;r;r;r;r;r;r;r;r;r;r;k;r;r;r;k;k;1;4;19;1;0;0;25;0.04;0.16;0.76;0.04;0;0
Piet;19/jun;Ward;13:45;5;voor;controle;13.65;13.84;13.48;13.66;0.032433333;3.81;3.79;3.79;3.8;0.000133333;4.95;4.58;4.84;4.79;0.0361;v;r;k;k;r;r;r;r;r;k;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;2;3;20;0;0;0;25;0.08;0.12;0.8;0;0;0
Piet;19/jun;Ward;13:45;5;na;controle;13.65;13.84;13.48;13.66;0.032433333;3.81;3.79;3.79;3.8;0.000133333;4.95;4.58;4.84;4.79;0.0361;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;w;r;b;0;0;23;1;0;1;25;0;0;0.92;0.04;0;0.04
Johan;19/jun;Ward;14:02;8;voor;impact;13.27;13.67;12.95;13.3;0.130133333;4.06;4.13;4.06;4.08;0.001633333;3.5;3.53;3.56;3.53;0.0009;v;b;k;v;b;k;v;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;3;2;18;0;0;2;25;0.12;0.08;0.72;0;0;0.08
Johan;19/jun;Ward;14:02;8;na;impact;13.27;13.67;12.95;13.3;0.130133333;4.06;4.13;4.06;4.08;0.001633333;3.5;3.53;3.56;3.53;0.0009;w;k;v;k;b;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;2;20;1;0;1;25;0.04;0.08;0.8;0.04;0;0.04
Bobby;19/jun;Ward;15:07;2;voor;controle;12.04;11.5;12.11;11.88;0.111433333;3.51;3.42;3.47;3.47;0.002033333;3.97;4.1;3.96;4.01;0.0061;v;r;k;k;k;v;r;k;k;k;r;k;v;k;b;k;k;k;w;r;r;r;r;r;r;3;11;9;1;0;1;25;0.12;0.44;0.36;0.04;0;0.04
Bobby;19/jun;Ward;15:07;2;na;controle;12.04;11.5;12.11;11.88;0.111433333;3.51;3.42;3.47;3.47;0.002033333;3.97;4.1;3.96;4.01;0.0061;v;b;k;k;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;r;1;2;21;0;0;1;25;0.04;0.08;0.84;0;0;0.04
